Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=MFG~String~MFG~100|Field=MFG_PN~String~MFG_PN~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Unit Price~String~Unit Price~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Softcore_SA_HW.PrjPcb|ReportField=ProjectFullPath~C:\IMR_Projects\IMR\Softcore_SA\Hardware\Softcore_SA_HW\Softcore_SA_HW.PrjPcb|ReportField=Title~BOM_PartType For Project [Softcore_SA_HW.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~192|ReportField=ReportTime~6:07:15 PM|ReportField=ReportDate~3/22/2026|ReportField=ReportDateTime~3/22/2026 6:07:15 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectTitle~SoftCore SA Adapter|ReportField=ProjectTime~08:00|ReportField=ProjectRevision~2|ReportField=ProjectDocumentNumber~IMR-006-SCH|ReportField=ProjectDate~02/26/26|ReportField=Address1~3621 Gin Way|ReportField=Address2~Snellville GA, 30039|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~02/26/26|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~IMR-006-SCH|ReportField=DrawnBy~|ReportField=Engineer~Hab S Collector|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~SoftCore SA Adapter|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Softcore_SA_HW.PrjPcb|ReportField=DataSourceFullPath~C:\IMR_Projects\IMR\Softcore_SA\Hardware\Softcore_SA_HW\Softcore_SA_HW.PrjPcb
RC0805FR-071KL|RES SMD 1.0K OHM 1% 1/8W 0805|R24, R27, R41, R45|RES_SMD_1.0K_0805_1/8W_1%|4|Yageo|RC0805FR-071KL|DigiKey|311-1.00KCRCT-ND|.1
RT0805BRD071K5L|RES SMD 1.5K OHM 0.1% 1/8W 0805|R25, R26|RES_SMD_1.5K_0805_1/8W_0.1%|2|Yageo|RT0805BRD071K5L|DigiKey|YAG1814CT-ND|.16
RC0805FR-0722KL|RES SMD 22K OHM 1% 1/8W 0805|R34, R37|RES_SMD_22K_0805_1/8W_1%|2|Yageo|RC0805FR-0722KL|DigiKey|311-22.0KCRCT-ND|.10
PRS12R-4115K-103B1|POT 10K OHM 1/20W LINEAR - 2X GANG|R42|RES_POT_10K_2XGANG_LINEAR|1|Bourns Inc.|PRS12R-4115K-103B1|DigiKey|118-PRS12R-4115K-103B1-ND|2.56
RC0805FR-077K5L|RES SMD 7.5K OHM 1% 1/8W 0805|R43|RES_SMD_7.5K_0805_1/8W_1%|1|Yageo|RC0805FR-077K5L|DigiKey|311-7.50KCRCT-ND|.10
RC0805FR-132K49L|RES SMD 2.49K OHM 1% 1/8W 0805|R46, R64|RES_SMD_2.49K_0805_1/8W_1%|2|Yageo|RC0805FR-132K49L|DigiKey|13-RC0805FR-132K49LCT-ND|.1
RC0805JR-070RL|RES SMD 0 OHM 1% 1/8W 0805|R47, R48, R54, R61, R62, R72|RES_SMD_0_0805_1/8W_1%|6|Yageo|RC0805JR-070RL|DigiKey|311-0.0ARCT-ND|.1
3386P-1-103TLF|POT 10K OHM 1/20W LINEAR - 1X GANG|R50|RES_POT_10K_1XGANG_LINEAR|1|Bourns Inc.|3386P-1-103TLF|DigiKey|3386P-103TLF-ND|2.20
RC0805FR-071K69L|RES SMD 1.69K OHM 1% 1/8W 0805|R51|RES_SMD_1.69K_0805_1/8W_1%|1|Yageo|RC0805FR-071K69L|DigiKey|311-1.69KCRCT-ND|.1
RC0805FR-07178KL|RES SMD 178K OHM 1% 1/8W 0805|R52|RES_SMD_178K_0805_1/8W_1%|1|Yageo|RC0805FR-07178KL|DigiKey|311-178KCRCT-ND|.10
RC0805FR-07102KL|RES SMD 102K OHM 1% 1/8W 0805|R53, R56|RES_SMD_102K_0805_1/8W_1%|2|Yageo|RC0805FR-07102KL|DigiKey|311-102KCRCT-ND|.10
RC0805FR-07100KL|RES SMD 100K OHM 1% 1/4W 0805|R55, R57, R63, R66, R67, R68, R70|RES_SMD_100K_0805_1/4W_1%|7|Yageo|RC0805FR-07100KL|DigiKey|311-100KCRCT-ND|.13
RC0805FR-0748K7L|RES SMD 48.7K OHM 1% 1/8W 0805|R58|RES_SMD_48.7K_0805_1/8W_1%|1|Yageo|RC0805FR-0748K7L|DigiKey|311-48.7KCRCT-ND|.1
RC0805FR-0717K4L|RES SMD 17.4K OHM 1% 1/8W 0805|R59|RES_SMD_17.4K_0805_1/8W_1%|1|Yageo|RC0805FR-0717K4L|DigiKey|311-17.4KCRCT-ND|.10
RC0805FR-0717K8L|RES SMD 17.8K OHM 1% 1/8W 0805|R60|RES_SMD_17.8K_0805_1/8W_1%|1|Yageo|RC0805FR-0717K8L|DigiKey|311-17.8KCRCT-ND|.10
RC0805FR-076K81L|RES SMD 6.81K OHM 1% 1/8W 0805|R65|RES_SMD_6.81K_0805_1/8W_1%|1|Yageo|RC0805FR-076K81L|DigiKey|311-6.81KCRCT-ND|.10
RC0805FR-071ML|RES SMD 1M OHM 1% 1/8W 0805|R69|RES_SMD_1M_0805_1/8W_1%|1|Yageo|RC0805FR-071ML|DigiKey|311-1.00MCRCT-ND|.12
RC0805FR-07255KL|RES SMD 255K OHM 1% 1/8W 0805|R71|RES_SMD_255K_0805_1/8W_1%|1|Yageo|RC0805FR-07255KL|DigiKey|311-255KCRCT-ND|.10
HE721C0500|RELAY REED SPDT 250MA 5V|REL1|RELAY_HE721C0500|1|Littlefuse|HE721C0500|DigiKey|HE112-ND|3.77
TBD|CONN SPEAKER HEADER GENERIC VERT 2POS 2.54MM|SPK1|CONN_SPKR_HEADER_2P_100MIL|1|GENERIC|TBD|Digi-Key|TBD|1.00
EVQ-Q2U02W|SWITCH TACTILE SPST-NO 0.02A 15V|SW1, SW2, SW3, SW4, SW5|SWITCH_EVQ-Q2U02W|5|American Zettler|EVQ-Q2U02W|DigiKey|P12954SCT-ND|.25
SLW-12689-4A-N-D|SWITCH SLIDE SPDT 300MA 50V|SW6|SWITCH_SLW-12689-4A-N-D|1|Same Sky|SLW-12689-4A-N-D|DigiKey|2223-SLW-12689-4A-N-D-ND|.48
S1751-46R|PCB TEST POINT CONNECT|TP5, TP8, TP10, TP12, TP14, TP15, TP16, TP17|CONN_TEST_POINT_S1751-46R|8|Harwin Inc|S1751-46R|Digi-Key|952-1478-1-ND|.28
MCP23S08T-E/SO|IC IO XPNDR 10MHZ SPI 18SOIC|U1, U2|IC_MCP23S08T-E/SO|2|Microchip|MCP23S08T-E/SO|DigiKey|MCP23S08T-E/SOCT-ND|1.54
SSD1309_128X64_2.42"|DISPLAY 128X64 SSD1309 2.42" OLED WHITE|U3|MODULE_DISPLAY_128X64_2.42|1|UNKNOWN|SSD1309_128X64_2.42"|Amazon|SSD1309 2.42"|16.99
AD7476ARTZ-REEL7|IC ADC 12BIT SAR SOT23-6|U4, U6|IC_AD7476ARTZ-REEL7|2|Analog Devices|AD7476ARTZ-REEL7|DigiKey|AD7476ARTZ-REEL7CT-ND|12.02
AD8606ARZ-REEL7|IC OPAMP GP 2 CIRCUIT 8SOIC|U5, U7, U8|IC_OPAMP_AD8606ARZ-REEL7|3|Analog Devices|AD8606ARZ-REEL7|DigiKey|AD8606ARZ-REEL7CT-ND|4.94
LM4990MMX/NOPB|IC AMP CLASS AB MONO 2W 8VSSOP|U9|IC_LM4990MMX/NOPB|1|Texas Instruments|LM4990MMX/NOPB|DigiKey|296-37579-1-ND|.45
TLV9302IDR|IC OPAMP GP 2 CIRCUIT 8SOIC|U10|IC_OPAMP_TLV9302IDR|1|Texas Instruments|TLV9302IDR|DigiKey|296-53513-1-ND|.66
TPS552892RYQR|IC REG BUCK ADJ 1A 16HTSSOP|U11|IC_SMPS_TPS552892RYQR|1|Texas Instruments|TPS552892RYQR|DigiKey|296-TPS552892RYQRCT-ND|6.42
AZ1117CH-ADJTRG1|IC REG BUCK ADJ 2A SOT23|U12|IC_REG_AZ1117CH-ADJTRG1|1|Diodes Incorporated|AZ1117CH-ADJTRG1|DigiKey|AZ1117CH-ADJTRG1DICT-ND|.2
LM43601PWPR|IC REG BUCK ADJ 1A 16HTSSOP|U13|IC_SMPS_LM43601PWPR|1|Texas Instruments|LM43601PWPR|DigiKey|296-40221-1-ND|4.41
